window,jd_mean,jd_median,jd__TIME_STAMP,jd__lon,jd__lat,jd__speed,jd__technology,jd__lte_band,jd__lte_serv_rsrp,jd__lte_serv_rsrq,jd__lte_serv_rssi,jd__lte_cqi0,jd__lte_cqi1,jd__nr_band,jd__nr_serv_rsrp,jd__nr_serv_rsrq,jd__nr_serv_sinr,jd__nr_cqi,jd__dl_tput,jd__ul_tput,jd__lte_nbr_rsrp,jd__lte_nbr_rsrq,jd__irat_rsrp,jd__irat_rsrq,jd__nr_nbr_rsrp,jd__nr_nbr_rsrq,jd__lte_ho_category,jd__nr_ho_category
72,12.788568364489063,15.657801744900286,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,13.908824380172888,3.06260817346698,11.301798058309062,9.835023678649597,3.487029530521934,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,21.96445397472724,14.584960038863265,17.549571650233986,44.530961797860336,1.3234491985491554,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
73,13.288678642531238,16.83079779974109,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,13.762075789749293,6.428822231940815,11.649059233941733,9.139555290806317,8.896785823268678,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,21.96445397472724,18.08465224120911,18.77173212839831,44.530961797860336,1.3234491985491554,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
74,12.907245318562635,16.176438665309867,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,13.978688330405614,4.2956379080271985,11.929270133126176,5.43674728729332,7.4715410244578315,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,15.622233879682422,17.606193214775363,44.530961797860336,1.3234491985491554,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
75,13.324620653916728,16.576181495069243,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,16.42171953920118,4.341670016983642,12.664897624044704,6.3162338189631955,15.144720893271673,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,17.97601931491964,14.32680928959027,44.530961797860336,1.3234491985491554,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
76,13.11060097231692,16.83079779974109,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,14.140859037562196,6.797654662378934,12.354676180610575,6.571466914380798,2.0702944600421658,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,20.02206609174084,19.67054142866381,44.530961797860336,1.3234491985491554,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
77,13.129694538511133,17.122186684310066,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,17.369008622796315,4.383422364139137,17.220903311495878,5.241565484230182,1.9123230980206547,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,18.49713049057674,17.499638125169973,44.530961797860336,1.3234491985491554,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
78,13.428851857898813,17.139097057290584,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,17.653482582803903,6.205458838397108,17.254724057456908,6.445900275221676,7.054803078211996,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,20.361830178775154,19.45593623661243,17.90950506611934,44.530961797860336,1.3234491985491554,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
79,12.923404906238071,16.83079779974109,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,11.167739587218787,3.5589323979556258,7.418512118166886,4.39519773110135,15.110254558429354,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,17.567467492924205,17.542357171533077,44.530961797860336,1.3234491985491554,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
80,12.511700882612391,16.236516099735113,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,9.953527025521836,2.8677766082866403,6.82332428099925,9.003852267453071,4.6570235351518985,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,17.008263977115966,15.74238874853292,44.530961797860336,1.3234491985491554,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
81,13.238777194989666,16.83079779974109,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,11.690262374458293,3.0387222026381773,9.498244374121507,8.61305316802323,14.87219635527137,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,16.47144650651792,18.09936846010772,26.957152137205128,21.57410598293689,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
82,13.632991003449582,16.960261250377986,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,13.248121083545737,2.96600702546092,10.8947567050516,8.148347715387194,1.8879616490275293,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,16.989570352211096,17.117407393165703,24.063128368642115,45.74881028874612,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
83,13.48966477178429,16.83079779974109,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,10.872871583649934,4.737930679735805,11.23451835565904,3.594958190075705,2.7560278871536568,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,18.38164066706804,15.947742537210031,24.063128368642115,45.74881028874612,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
