window,stab__Other,ot__Other,stab__Mobility,ot__Mobility,stab__RadioContext,ot__RadioContext,stab__LTE,ot__LTE,stab__NR,ot__NR,stab__Throughput,ot__Throughput,stab__IRAT,ot__IRAT
0,0.9985350951471663,0.014663076102285894,0.3451398457886396,1.1254802613443784,0.4044070602800367,0.6848400923503792,0.5267283984817324,0.7537797333793745,0.781361027167328,0.5491080227116512,0.17732633471161902,1.775217267602713,0.05019671185318053,3.3890397029592516
1,0.9985341140274369,0.014510280656508999,0.346191198152815,1.1984722629653783,0.4044070602800367,0.805098234600919,0.5498708150987148,0.9306751950325645,0.781361027167328,0.6163049248927256,0.17422257989161594,1.7258505891784268,0.10084880473397966,2.0965567657828448
2,0.9985360762678597,0.013771522672786002,0.34746297531169695,1.2066313116260319,0.4044070602800367,0.8711192186598997,0.5708627984088191,0.7953960236235944,0.781361027167328,0.6348347900838189,0.17226674160265,1.620759160369459,0.10084880473397966,1.9907631546923525
3,0.9985350951471663,0.013484781186520502,0.3491560236725061,1.3572141329917629,0.4044070602800367,0.6459680447051104,0.5443859795359925,0.8202717850340884,0.781361027167328,0.5980613801856233,0.16791204291344258,1.9442964225301935,0.10084880473397966,2.716778608295595
4,0.998537057389517,0.015126536969427007,0.3495324794007356,1.1174455228537974,0.4044070602800367,0.8839729150883497,0.5411727015243158,0.7102115396662212,0.781361027167328,0.5984551970291012,0.16624843247409848,1.4573675518594178,0.10084880473397966,2.58847936777262
5,0.9985331329086715,0.012195457388389105,0.34517417165301056,1.131078992155591,0.4044070602800367,0.7349739660826152,0.5034788114219398,0.8325851568697378,0.781361027167328,0.7066221060715657,0.1707416674615556,1.816759910880978,0.10084880473397966,2.4558735359278545
6,0.9985341140274369,0.013174598427392478,0.34405034577100513,1.2199978355834957,0.4044070602800367,0.8671944148220926,0.5566033700331046,0.6880549135107367,0.781361027167328,0.5951243492305456,0.1713205827476093,1.5874468841826705,0.06409818827557441,3.0833444404192876
7,0.9985419630122643,0.013494622939952195,0.34078698363766485,1.1982257768022222,0.4044070602800367,0.6416070581167093,0.5588330736806026,0.7815720255091645,0.781361027167328,0.5886944910312966,0.17235960753521123,1.9050975879840117,0.05127457830295339,3.4852863117602606
8,0.998537057389517,0.017028265249438165,0.34200488017635,1.2643971161945813,0.4044070602800367,0.658155859923274,0.5696959991056976,0.9401362421765826,0.781361027167328,0.604287353453195,0.17136656771573236,1.9008389733201694,0.05127457830295339,3.1025545536238472
9,0.9985390196357239,0.012942380843675758,0.3435150642423797,1.018761110177058,0.4044070602800367,0.8038468712312561,0.6067609320925365,0.6772535234524049,0.781361027167328,0.5584770461258759,0.16808349496654423,1.5962634792774577,0.05127457830295339,3.5110642988470264
10,0.9985350951471663,0.014465689720096328,0.3450613412125709,1.3346708113465382,0.4044070602800367,0.8681779119781333,0.5976512039523582,0.7485936216125726,0.781361027167328,0.7419822945093862,0.16747923533622933,1.5886687963584611,0.05127457830295339,2.595309374879397
11,0.9985341140274369,0.014577662276824051,0.346915216396434,1.06381587401799,0.4044070602800367,0.9051955553585214,0.5822895855268908,0.6926970033969929,0.781361027167328,0.5077151514723155,0.16649799806343915,1.5727764911228324,0.05127457830295339,2.8245691122661047
12,0.9985360762678597,0.014716931894492826,0.3492850443353684,1.012792765726319,0.4044070602800367,0.9638023180990491,0.6068086127556437,0.642787839474696,0.781361027167328,0.5607211446143613,0.16709104753369525,1.379806935258629,0.17261823798280942,1.3599595485548512
13,0.9985311706740327,0.015052689787357163,0.34923090840305665,1.0848951079032363,0.4044070602800367,0.912748675246532,0.5715717002603417,0.6464290067682166,0.781361027167328,0.6066606946108187,0.16766282981963898,1.5742146510095387,0.45164672189876715,1.0591439862523995
14,0.9985380385121385,0.014238265605730674,0.34273181736602265,1.1693276450940862,0.4044070602800367,0.6459305646362532,0.6141344324815466,0.6040779825859381,0.781361027167328,0.6288060088460099,0.1657146798343032,1.9729713149366006,0.45164672189876715,1.0429596118996796
15,0.9985360762678597,0.01425971341430731,0.34485395962102905,1.3598571463360054,0.4044070602800367,0.5266435951296898,0.5334225229493609,1.0260068479540232,0.781361027167328,0.567479490903668,0.164999879778312,2.132314992072959,0.45164672189876715,1.140649234548523
16,0.9985380385121385,0.012652940440340706,0.352849676449691,1.220260529774476,0.4044070602800367,0.7314465122912086,0.5576088790619589,1.0272590338054273,0.781361027167328,0.6642405279548074,0.16044087900317328,1.9148085238707737,0.45164672189876715,1.1244702133074673
17,0.9985409818857869,0.016529923503219426,0.35677341814394714,1.1888518761145952,0.4044070602800367,0.8226302245284385,0.5643284101495719,0.9078277975799776,0.781361027167328,0.5258492355184965,0.1595868876756716,1.6725523133176867,0.45164672189876715,1.0725542861786275
18,0.9985350951471663,0.014983497355225372,0.3583462687900474,1.063079085454088,0.9096761093060532,0.08421843964536445,0.5483363612881054,0.8534447143776596,0.781361027167328,0.6048539155887698,0.1564543133857877,1.6581750032039602,0.48409887334670865,0.9457985561113109
19,0.9985429441397058,0.010772139431669804,0.3644265407349027,0.9457227802573956,0.9096761093060532,0.10141156161240723,0.5925741401739963,0.624743973385032,0.5551406621304507,1.1703813175810855,0.38473591104954774,1.511169862127302,0.5327817759577156,0.7994162255459405
