window,jd_mean,jd_median,jd__TIME_STAMP,jd__lon,jd__lat,jd__speed,jd__technology,jd__lte_band,jd__lte_serv_rsrp,jd__lte_serv_rsrq,jd__lte_serv_rssi,jd__lte_cqi0,jd__lte_cqi1,jd__nr_band,jd__nr_serv_rsrp,jd__nr_serv_rsrq,jd__nr_serv_sinr,jd__nr_cqi,jd__dl_tput,jd__ul_tput,jd__lte_nbr_rsrp,jd__lte_nbr_rsrq,jd__irat_rsrp,jd__irat_rsrq,jd__nr_nbr_rsrp,jd__nr_nbr_rsrq,jd__lte_ho_category,jd__nr_ho_category
0,14.716069044174626,17.84075570739393,20.244863168815446,22.733709956679775,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,17.77231140768919,3.591704810567879,15.887667232992081,12.136765953330176,10.398248861515878,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,22.53170414711648,17.90920000709867,22.80884708989605,24.026695580781826,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
1,14.574816835363034,17.408894908656585,20.184879386989707,22.733709956679775,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,17.28122058957806,3.494789703190532,17.53656922773511,11.121918539493892,5.71437693218811,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,21.711998626063416,16.995841969725628,24.188003682426036,25.40585217331181,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
2,14.57751996862302,17.3845388898686,20.092002040749563,22.733709956679775,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,17.23022982383649,2.2189296248233745,17.407805468052043,13.385440161387631,5.815547559387796,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,20.60064944980199,17.36127231168516,24.188003682426036,25.40585217331181,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
3,14.206329976709434,16.977211102834566,20.169500532955507,22.733709956679775,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,14.225342006567523,2.3644285037753003,12.971660977719424,9.90278164231484,8.95796544163089,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,20.210648077299382,21.638646391548633,16.459521589249242,24.188003682426036,25.40585217331181,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
4,14.6769381314505,17.4700793855919,20.21271001875161,20.28629579325068,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,15.59872144373816,4.001470030180335,14.750969727293674,13.20868355089661,10.628233579743345,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,21.96445397472724,21.645989343808502,19.572489680618094,24.188003682426036,25.40585217331181,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
5,14.78227772477871,17.803196419539745,20.13372697948305,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,18.938901475771,5.621045373158694,17.689704125019947,12.63133948473371,10.220189786719725,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,20.700081701172277,20.804574935374227,17.162820745901122,24.188003682426036,25.40585217331181,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
6,13.963563271593369,17.50013647611853,20.16662444306676,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,15.457868608302258,4.645017491892505,17.08358423817752,3.7135259173919826,2.3436234471610016,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,20.663359517797605,18.96684719838008,22.75590340705366,23.973751897939437,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
7,14.746435912470607,17.59598596778466,20.089091588785646,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,17.65788627376407,4.200412953920336,17.53408566180525,13.237749107058283,10.603425872402585,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,21.112567750282967,16.345470393781852,24.063128368642115,25.28097685952789,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
8,14.434823010006575,17.4700793855919,20.159507166456244,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,18.772659114050075,6.5187178669201895,15.702595238464143,10.620592848307647,6.160785335383844,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,18.510440354653536,16.233456213500467,24.063128368642115,25.28097685952789,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
9,14.221942298270086,16.977211102834566,20.154284192303116,20.70646196220799,20.80261017059309,3.1560135586630773,22.188912479382058,0.0,13.855395684644435,4.008305119491117,14.233471365061767,8.445644025992447,9.065628133486836,0.0,17.023470057124257,16.930952148544876,18.022751744190778,17.929960333062752,19.426469501804426,22.43955851308994,20.62529743018382,16.755829681423908,24.063128368642115,25.28097685952789,16.730643450937308,17.916688714059543,0.0021936389864738014,0.005852621618258938
