window,jd_mean,jd_median,jd__TIME_STAMP,jd__lon,jd__lat,jd__speed,jd__technology,jd__lte_band,jd__lte_serv_rsrp,jd__lte_serv_rsrq,jd__lte_serv_rssi,jd__lte_cqi0,jd__lte_cqi1,jd__nr_band,jd__nr_serv_rsrp,jd__nr_serv_rsrq,jd__nr_serv_sinr,jd__nr_cqi,jd__dl_tput,jd__ul_tput,jd__lte_nbr_rsrp,jd__lte_nbr_rsrq,jd__irat_rsrp,jd__irat_rsrq,jd__nr_nbr_rsrp,jd__nr_nbr_rsrq,jd__lte_ho_category,jd__nr_ho_category
67,10.808678917030623,11.047941220795686,20.249160637160617,20.09547664642642,22.366899658598957,3.1560135586630773,1.945075308559259,0.0,15.608140856339903,3.1474498410362943,7.911999443749892,12.656987035771165,9.079487161107313,0.0,19.366170682483347,8.534377392107677,8.140489838831645,10.069283947291074,21.56911850271336,18.503741992656124,19.15996152864838,17.699148444418043,12.026598494300295,1.3234491985491554,14.328672732308874,14.079902680470589,0.0021936389864738014,0.005852621618258938
68,10.957852425218176,12.682098108343537,20.169666524444,19.028158805430966,20.60174156344772,3.1560135586630773,1.945075308559259,0.0,12.34869925065654,1.954484417817621,7.628261430167757,9.126903361334843,17.110739055015177,0.0,20.166639057363003,13.439202535598238,13.015496966030533,15.982537233585605,18.720462259056138,18.503741992656124,16.743641664353877,14.231365715159056,12.026598494300295,1.3234491985491554,11.517471959591088,16.155766443287845,0.0021936389864738014,0.005852621618258938
69,11.716757329156621,13.92600240862134,20.18336704894751,22.390001027508966,22.06660396540754,1.9208698257866323,1.945075308559259,0.0,12.321706488378407,3.3127717167982262,8.818086559792116,14.972622818948766,17.110739055015177,0.0,21.24846497821847,11.636576771167952,12.879381998293916,15.640359658169285,20.35447540317471,18.503741992656124,17.409974462273578,15.88395905444286,12.026598494300295,1.3234491985491554,17.211749625696264,15.467068845382215,0.0021936389864738014,0.005852621618258938
70,11.568357079732708,12.370367907623638,20.17296045808692,18.80561769559008,22.06660396540754,23.900881929988003,1.945075308559259,0.0,7.016001264044021,2.560095270759124,3.172353164519824,9.177367045885092,17.110739055015177,0.0,19.132393377980492,16.398174505344034,12.420313121203973,20.67396908441459,17.80475025007873,12.320422694043303,17.52999110849997,17.704738405936435,12.026598494300295,1.3234491985491554,15.49797079113832,12.008771623101374,0.0021936389864738014,0.005852621618258938
71,10.538635366413091,12.377226357962396,20.08147681285577,19.966772987003843,22.06660396540754,2.040736184139237,1.945075308559259,0.0,14.568817160180803,1.5345184080282481,8.954136720505176,12.727854221624495,5.509324970659098,0.0,19.12076169427107,9.462627285393786,11.291663951988493,15.834085741306284,20.79996845240427,16.594963876919326,14.498069444404031,14.146319836799497,12.026598494300295,1.3234491985491554,15.780933526917003,13.721715023918957,0.0021936389864738014,0.005852621618258938
72,10.658884411956572,12.54821655786985,20.282451092966273,19.966772987003843,22.06660396540754,3.1560135586630773,1.945075308559259,0.0,12.62779949847093,0.9658970183377741,7.412678165090371,7.054318202576655,5.89055214118581,0.0,20.351726256656043,13.743284543660163,12.468633617268768,18.47205017862649,20.79996845240427,16.594963876919326,14.014717391203028,14.06145383363772,12.026598494300295,1.3234491985491554,16.40927560268975,15.488665066089624,0.0021936389864738014,0.005852621618258938
73,10.594369007380145,12.747482729667254,20.272610923093353,19.966772987003843,22.06660396540754,3.1560135586630773,1.945075308559259,0.0,12.749362765766946,1.3742952039796463,6.319948257846637,10.225182356396282,13.340207499460725,0.0,20.102185571111814,13.131032137967937,11.028487091184477,14.321889488111001,18.233652454334443,12.745602693567564,16.072438740469615,15.597916538406123,12.026598494300295,1.3234491985491554,15.28818667973373,14.158036017365646,0.0021936389864738014,0.005852621618258938
74,14.889462727378096,18.507711761725385,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,1.945075308559259,0.0,19.089610126580123,2.3258557688010133,17.268558016730395,20.885414833460025,22.988205178558864,0.0,23.591329031368286,24.83776119408836,24.180966803234483,14.974745804291754,20.340409418426454,17.357006683048088,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,22.336688904268986,17.925813396870648,0.0021936389864738014,0.005852621618258938
75,14.044142655783268,16.602677453560432,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,1.945075308559259,0.0,15.978533425359132,1.4867559704544568,15.774280504162148,17.226821481761736,13.97799214110103,0.0,13.418661254658666,24.83776119408836,23.868840098664712,15.516075937002169,20.340409418426454,22.43955851308994,21.17673667524799,23.11416490528817,24.063128368642115,25.28097685952789,21.940478816079317,17.925813396870648,0.0021936389864738014,0.05724883674386743
76,15.2339077609199,17.815422940678154,0.11111661418630289,20.70646196220799,20.80261017059309,23.900881929988003,1.945075308559259,0.0,17.540800206818048,1.3531446986633877,15.630806108324155,17.705032484485656,20.334568930002916,0.0,23.591329031368286,24.83776119408836,24.180966803234483,17.630029961587795,20.483945611209993,11.256142556624459,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,23.842726677211328,17.925813396870648,0.0021936389864738014,0.005852621618258938
77,15.603100056387579,19.455617350132137,0.11111661418630289,20.70646196220799,20.80261017059309,23.900881929988003,1.945075308559259,0.0,19.175692093942786,2.006949804947004,15.478277718679538,17.38091899090984,19.735542606321488,0.0,23.591329031368286,24.83776119408836,24.180966803234483,23.642396726230473,21.573199444164,12.5404928546809,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,23.842726677211328,17.925813396870648,0.0021936389864738014,0.005852621618258938
78,15.797965424805996,19.53954683746129,0.11111661418630289,20.70646196220799,20.80261017059309,23.900881929988003,1.945075308559259,0.0,20.414673866643923,1.4482115890486082,17.161263781524386,18.46227953891177,18.66441980827866,0.0,23.591329031368286,24.83776119408836,24.180966803234483,23.642396726230473,21.506604786868504,16.594963876919326,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,22.547882521540622,17.925813396870648,0.0021936389864738014,0.005852621618258938
