window,latent_score_mean,latent_score_median,latent_flag_rate
0,0.371083551775837,0.3305246821708284,0.0
1,0.29117507516568,0.2535673276076035,0.0
2,0.3286904679432098,0.32340365190295906,0.0
3,0.3082854129770882,0.2852731729765813,0.0
4,0.2848557230737092,0.2777823642659745,0.0
5,0.2763091514899158,0.2570008541305715,0.0
6,0.3686258271111526,0.3285238165485548,0.02
7,0.26334587261251624,0.28766718792897417,0.0
8,0.19904702162752094,0.15863439470842491,0.0
9,0.24757956493306732,0.2652001880084141,0.0
10,0.16215822304513555,0.14258661371624662,0.0
11,0.18221073261532075,0.157789885725665,0.0
12,0.32921926272029767,0.31089190107829673,0.0
13,0.20501308954624078,0.1903516939893519,0.0
14,0.2246243264959415,0.23451253996936083,0.0
15,0.263818829738981,0.26610919293432755,0.0
16,0.2854242592818487,0.28019842899447667,0.0
17,0.26690751382947575,0.23872488083114574,0.0
18,0.26581197906982423,0.2694092826299707,0.0
19,0.7347872501442292,0.6616214883171929,0.13
20,0.4417057433795704,0.3994698934483164,0.0
21,0.5520173378426382,0.5313126731035468,0.05
22,0.46751472697238516,0.46766847385285437,0.0
23,0.52329416685807,0.5055364373950311,0.02
24,0.3974048417986878,0.3835485566576334,0.0
25,0.4532348692090114,0.4424749345505684,0.0
26,0.43648022780697404,0.4163315467668107,0.0
27,0.44576019741005146,0.4208883574771669,0.0
28,0.41153707259458,0.39125460030492193,0.0
29,0.46104185218768295,0.42070462199574127,0.0
30,0.418595761682992,0.4072591034206118,0.0
31,0.3388507623211015,0.33162778813996296,0.0
32,0.3852850886539016,0.3458526229780722,0.0
33,0.4257827866391925,0.3292838946699661,0.0
34,0.4030842499700787,0.4063061274260633,0.0
35,0.31461344716325734,0.3181252196389929,0.0
36,0.3013317011152289,0.27971989544934206,0.0
37,0.3742425244153683,0.3535479047931286,0.0
38,0.3652056568570929,0.3542131499604327,0.0
39,0.40773613285411253,0.3939199877082557,0.0
40,0.6464921869730296,0.5995197686094399,0.06
41,0.5334729245919283,0.5124975427916612,0.02
42,0.6669708593502964,0.5646545858244392,0.1
43,0.526652011428109,0.4770295097226635,0.02
44,0.5886509936956226,0.5695755069774957,0.04
45,0.5403488296513191,0.49779538527202793,0.02
46,0.5074692382643337,0.45480286533091985,0.04
47,0.5586464506583427,0.5342264976399329,0.04
48,0.5117887187885674,0.47198175186752256,0.02
49,0.40511387097343454,0.40469353794788326,0.0
50,0.3871995502577633,0.32602136368493795,0.0
51,0.4189293826471203,0.38973683347732535,0.0
52,0.39942400802961425,0.37595325144037817,0.0
53,0.5773301051712071,0.5194829712275463,0.04
54,0.4416269818883937,0.44649715497013787,0.0
55,0.5249490883216928,0.505253463808391,0.02
56,0.7103990048068245,0.6233189976420087,0.16
57,0.7371183598547256,0.5370760721034507,0.18
58,0.6585688115136353,0.5962627638405624,0.06
59,0.5886591390792563,0.587344349097159,0.01
60,0.44111575917963236,0.4040873801205259,0.01
61,0.4631042142760068,0.4378479381227156,0.01
62,0.4637088023420031,0.4231664511512925,0.0
63,0.4719795908323553,0.4638955939675551,0.0
64,0.4219901830117793,0.40388557047730606,0.0
65,0.4695766903372611,0.4208800716257507,0.0
