,Other,Mobility,RadioContext,LTE,NR,Throughput,IRAT
Sudden,0.018161386991250073,6.620967103109875,0.5063689970923942,0.9815090430997493,1.5420691634849084,1.3832382947293977,0.9976150575239514
Gradual,0.018620228664909536,5.342770873388974,0.5983859252556772,0.8874737347404034,1.1347513865109036,1.4412365413994066,2.6844714049678404
Recurrent,0.015229337391311437,2.387432678012284,0.17588688401038863,0.7577048354273821,0.770354060075217,1.022024315720432,3.014689780092296
